P1,P2,C1_p1_to_p1,C1_p1_to_p2,C1_p2_to_p1,C1_p2_to_p2,P1_net,P2_net,C1_net_p1_to_p1,C1_net_p1_to_p2,C1_net_p2_to_p1,C1_net_p2_to_p2
0.908995274,0.029231887,0,0.061773767,-9.27E-07,0,-0.002184062,0.001517483,0,0.000665652,9.27E-07,0
0.90899513,0.029231881,0,0.061773852,-8.63E-07,0,-0.00218399,0.001517477,0,0.00066565,8.63E-07,0
0.917844268,0.02222997,0,0.059925671,9.13E-08,0,-0.001794116,0.001644711,0,0.000149496,-9.13E-08,0
0.917765432,0.022302241,0,0.05993224,8.73E-08,0,-0.001799456,0.001644243,0,0.0001553,-8.73E-08,0
0.917675716,0.02238395,0,0.059940251,8.32E-08,0,-0.001805446,0.001643673,0,0.000161856,-8.32E-08,0
0.917591046,0.022460901,0,0.059947974,7.94E-08,0,-0.001811069,0.001643123,0,0.000168026,-7.94E-08,0
0.917222294,0.022792993,0,0.059984649,6.48E-08,0,-0.001835033,0.001640514,0,0.000194584,-6.48E-08,0
0.91710109,0.022901092,0,0.059997758,6.07E-08,0,-0.001842726,0.001639583,0,0.000203204,-6.07E-08,0
0.917598755,0.022453906,0,0.05994726,7.97E-08,0,-0.001810559,0.001643174,0,0.000167465,-7.97E-08,0
0.916316912,0.023588458,0,0.06009459,3.98E-08,0,-0.001890353,0.001632715,0,0.000257678,-3.98E-08,0
0.916385281,0.023529332,0,0.060085345,4.13E-08,0,-0.001886346,0.00163337,0,0.000253017,-4.13E-08,0
0.916373346,0.023539664,0,0.060086948,4.11E-08,0,-0.001887047,0.001633256,0,0.000253832,-4.11E-08,0
0.916321895,0.023584153,0,0.060093911,4.00E-08,0,-0.001890062,0.001632763,0,0.000257339,-4.00E-08,0
0.91622208,0.023670223,0,0.060107659,3.79E-08,0,-0.001895867,0.00163179,0,0.000264114,-3.79E-08,0
0.91622208,0.023670223,0,0.060107659,3.79E-08,0,-0.001895867,0.00163179,0,0.000264114,-3.79E-08,0
0.91622208,0.023670223,0,0.06010766,3.79E-08,0,-0.001895867,0.00163179,0,0.000264114,-3.79E-08,0
0.915924269,0.023926551,0,0.060149148,3.20E-08,0,-0.001913067,0.001628857,0,0.000284242,-3.20E-08,0
0.915581235,0.024215476,0,0.060203262,2.74E-08,0,-0.001931778,0.001625037,0,0.000306768,-2.74E-08,0
0.915256492,0.024487129,0,0.060256357,2.29E-08,0,-0.001949102,0.001621297,0,0.000327828,-2.29E-08,0
0.913821358,0.025652877,0,0.060525753,1.17E-08,0,-0.002018931,0.001602434,0,0.000416509,-1.17E-08,0
0.913343198,0.026029646,0,0.060627147,8.52E-09,0,-0.002039882,0.001595383,0,0.000444507,-8.52E-09,0
0.91528614,0.024462455,0,0.060251381,2.34E-08,0,-0.001947545,0.001621648,0,0.000325921,-2.34E-08,0
0.910191375,0.028386597,0,0.061422044,-1.59E-08,0,-0.002151572,0.001541023,0,0.000610533,1.59E-08,0
0.910469273,0.028186801,0,0.061343934,-8.01E-09,0,-0.002143441,0.001546293,0,0.00059714,8.01E-09,0
0.910420795,0.028221758,0,0.061357456,-9.24E-09,0,-0.002144882,0.001545379,0,0.000599493,9.24E-09,0
0.910211646,0.028372072,0,0.061416298,-1.52E-08,0,-0.002150989,0.00154141,0,0.000609564,1.52E-08,0
0.909805268,0.028661886,0,0.061532884,-3.82E-08,0,-0.00216237,0.00153357,0,0.000628761,3.82E-08,0
0.909805249,0.028661885,0,0.061532902,-3.54E-08,0,-0.002162365,0.001533569,0,0.000628761,3.54E-08,0
0.909804988,0.028661876,0,0.061533135,1.59E-09,0,-0.002162306,0.001533554,0,0.000628754,-1.59E-09,0
0.909288531,0.029028157,0,0.06168331,1.21E-09,0,-0.002176171,0.001523507,0,0.000652665,-1.21E-09,0
0.90869677,0.029437064,0,0.061866166,9.86E-10,0,-0.002189942,0.00151135,0,0.000678593,-9.86E-10,0
0.908138115,0.029820117,0,0.062041767,7.21E-10,0,-0.002202138,0.001499755,0,0.000702384,-7.21E-10,0
0.905693031,0.03143995,0,0.062867019,4.46E-10,0,-0.002242664,0.001446288,0,0.000796376,-4.46E-10,0
0.904887789,0.031954948,0,0.063157263,2.22E-11,0,-0.002251782,0.001427882,0,0.0008239,-2.22E-11,0
0.908189047,0.029785412,0,0.062025541,8.14E-10,0,-0.002201075,0.001500823,0,0.000700252,-8.14E-10,0
0.899715685,0.035075287,0,0.06520904,-1.27E-08,0,-0.002267602,0.001303504,0,0.000964085,1.27E-08,0
0.900161811,0.034817609,0,0.065020587,-7.22E-09,0,-0.002268824,0.001314516,0,0.000954301,7.22E-09,0
0.900083845,0.034862786,0,0.065053378,-8.06E-09,0,-0.002268643,0.001312594,0,0.00095604,8.06E-09,0
0.899748162,0.035056596,0,0.065195254,-1.22E-08,0,-0.002267705,0.001304306,0,0.000963387,1.22E-08,0
0.899099277,0.035428306,0,0.065472446,-2.89E-08,0,-0.002265241,0.001288247,0,0.000976965,2.89E-08,0
0.899099172,0.035428282,0,0.065472573,-2.70E-08,0,-0.002265225,0.00128824,0,0.000976958,2.70E-08,0
